,fullName,activities
408,Tallgrass Prairie National Preserve,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Bus/Shuttle Guided Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Living History, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
409,Thaddeus Kosciuszko National Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
410,Theodore Roosevelt Birthplace National Historic Site,"Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
411,Theodore Roosevelt Inaugural National Historic Site,"Arts and Culture, Food, Guided Tours, Self-Guided Tours - Walking, Hands-On, Living History, First Person Interpretation, Junior Ranger Program, Park Film, Museum Exhibits"
412,Theodore Roosevelt Island,"Guided Tours, Self-Guided Tours - Walking, Hiking, Paddling, Canoeing, Kayaking, Wildlife Watching, Birdwatching"
413,Theodore Roosevelt National Park,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
414,Thomas Cole National Historic Site,"Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Wildlife Watching, Birdwatching, Museum Exhibits"
415,Thomas Edison National Historical Park,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
416,Thomas Jefferson Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
417,Thomas Stone National Historic Site,"Arts and Culture, Hiking, Wildlife Watching, Shopping, Bookstore and Park Store"
418,Timpanogos Cave National Monument,"Caving, Guided Tours, Hiking, Junior Ranger Program"
419,Timucuan Ecological & Historic Preserve,"Auto and ATV, Scenic Driving, Biking, Boating, Motorized Boating, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Living History, Historic Weapons Demonstration, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
420,Tonto National Monument,"Biking, Road Biking, Food, Picnicking, Guided Tours, Hiking, Front-Country Hiking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
421,Touro Synagogue National Historic Site,"Arts and Culture, Cultural Demonstrations, Guided Tours"
422,Trail Of Tears National Historic Trail,"Arts and Culture, Craft Demonstrations, Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Museum Exhibits"
423,Tule Lake National Monument,Guided Tours
424,Tule Springs Fossil Beds National Monument,"Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Food, Picnicking, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching"
425,Tumacácori National Historical Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Astronomy, Compass and GPS, Geocaching, Food, Dining, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
426,Tupelo National Battlefield,"Guided Tours, Self-Guided Tours - Walking"
427,Tuskegee Airmen National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Park Film, Museum Exhibits"
428,Tuskegee Institute National Historic Site,"Guided Tours, Junior Ranger Program, Museum Exhibits"
429,Tuzigoot National Monument,"Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
430,Ulysses S Grant National Historic Site,"Biking, Compass and GPS, Geocaching, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
431,Upper Delaware Scenic & Recreational River,"Boating, Fishing, Paddling, Junior Ranger Program, Museum Exhibits"
432,Valles Caldera National Preserve,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
433,Valley Forge National Historical Park,"Auto and ATV, Scenic Driving, Biking, Guided Tours, Hiking, Horse Trekking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
434,Vanderbilt Mansion National Historic Site,"Arts and Culture, Compass and GPS, Geocaching, Guided Tours, Hands-On, Citizen Science, Hiking, Junior Ranger Program, Shopping, Bookstore and Park Store"
435,Vicksburg National Military Park,"Auto and ATV, Scenic Driving, Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
436,Vietnam Veterans Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
437,Virgin Islands Coral Reef National Monument,"Boating, Motorized Boating, Sailing, Fishing, Fly Fishing, Saltwater Fishing, Paddling, Kayaking, Stand Up Paddleboarding, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching"
438,Virgin Islands National Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Boating, Motorized Boating, Sailing, Camping, Car or Front Country Camping, Fishing, Fly Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Paddling, Kayaking, Stand Up Paddleboarding, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
439,Voyageurs National Park,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Group Camping, RV Camping, Fishing, Freshwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hiking, Backcountry Hiking, Front-Country Hiking, Living History, Reenactments, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Cross-Country Skiing, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
440,Waco Mammoth National Monument,"Guided Tours, Hands-On"
441,Walnut Canyon National Monument,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
442,War In The Pacific National Historical Park,"Astronomy, Snorkeling, Museum Exhibits"
443,Washington Monument,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Shopping, Bookstore and Park Store"
444,Washington-Rochambeau Revolutionary Route National Historic Trail,
445,Washita Battlefield National Historic Site,"Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Living History, Reenactments, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
446,Weir Farm National Historical Park,"Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Hands-On, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
447,Whiskeytown National Recreation Area,"Astronomy, Stargazing, Biking, Mountain Biking, Road Biking, Boating, Motorized Boating, Sailing, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Hunting and Gathering, Hunting, Living History, First Person Interpretation, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Swimming, Freshwater Swimming, Water Skiing, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
448,White Sands National Park,"Auto and ATV, Scenic Driving, Biking, Road Biking, Camping, Backcountry Camping, Food, Picnicking, Guided Tours, Hiking, Junior Ranger Program"
449,Whitman Mission National Historic Site,"Arts and Culture, Cultural Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
450,William Howard Taft National Historic Site,"Food, Dining, Guided Tours, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
451,Wilson's Creek National Battlefield,"Arts and Culture, Cultural Demonstrations, Live Music, Auto and ATV, Scenic Driving, Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
452,Wind Cave National Park,"Auto and ATV, Scenic Driving, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Caving, Food, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
453,Wing Luke Museum Affiliated Area,"Guided Tours, Self-Guided Tours - Walking, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
454,Wolf Trap National Park for the Performing Arts,"Arts and Culture, Live Music, Theater, Food, Picnicking, Guided Tours, Hiking, Junior Ranger Program"
455,Women's Rights National Historical Park,"Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits"
456,World War I Memorial,"Guided Tours, Self-Guided Tours - Walking"
457,World War II Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
458,Wrangell - St Elias National Park & Preserve,"Arts and Culture, Auto and ATV, ATV Off-Roading, Auto Off-Roading, Scenic Driving, Biking, Mountain Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Canyoneering, Climbing, Mountain Climbing, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Dining, Picnicking, Flying, Fixed Wing Flying, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Gathering and Foraging, Hunting, Paddling, Whitewater Rafting, Junior Ranger Program, Snowmobiling, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
459,Wright Brothers National Memorial,"Flying, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store"
460,Wupatki National Monument,"Auto and ATV, Scenic Driving, Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
461,Yellowstone National Park,"Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Biking, Mountain Biking, Road Biking, Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Arts and Crafts, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
462,Yorktown Battlefield Part of Colonial National Historical Park,"Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
463,Yosemite National Park,"Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Biking, Boating, Camping, Backcountry Camping, Climbing, Fishing, Food, Guided Tours, Hands-On, Hiking, Backcountry Hiking, Horse Trekking, Horseback Riding, Ice Skating, Living History, Paddling, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Snow Play, Snowshoeing, Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
464,Yucca House National Monument,"Guided Tours, Self-Guided Tours - Walking"
465,Yukon - Charley Rivers National Preserve,"Boating, Motorized Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Dog Sledding, Fishing, Hiking, Backcountry Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Whitewater Rafting, Skiing, Cross-Country Skiing, Snowmobiling, Wildlife Watching, Birdwatching"
466,Zion National Park,"Arts and Culture, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Canyoneering, Climbing, Rock Climbing, Guided Tours, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
